Season,Tm,Player1,Player2,Player3,Player4,Player5
2022-23,1st,Alex Caruso,Jrue Holiday,Jaren Jackson,Brook Lopez,Evan Mobley
2022-23,2nd,Bam Adebayo,OG Anunoby,Dillon Brooks,Draymond Green,Derrick White
2021-22,1st,Giannis Antetokounmpo,Mikal Bridges,Rudy Gobert,Jaren Jackson,Marcus Smart
2021-22,2nd,Bam Adebayo,Draymond Green,Jrue Holiday,Matisse Thybulle,Robert Williams
2020-21,1st,Rudy Gobert,Ben Simmons,Draymond Green,Jrue Holiday,Giannis Antetokounmpo
2020-21,2nd,Bam Adebayo,Jimmy Butler,Joel Embiid,Matisse Thybulle,Kawhi Leonard
2019-20,1st,Giannis Antetokounmpo,Anthony Davis,Ben Simmons,Rudy Gobert,Marcus Smart
2019-20,2nd,Kawhi Leonard,Brook Lopez,Bam Adebayo,Patrick Beverley,Eric Bledsoe
2018-19,1st,Rudy Gobert,Paul George,Giannis Antetokounmpo,Marcus Smart,Eric Bledsoe
2018-19,2nd,Jrue Holiday,Klay Thompson,Joel Embiid,Draymond Green,Kawhi Leonard
2017-18,1st,Rudy Gobert,Anthony Davis,Victor Oladipo,Robert Covington,Jrue Holiday
2017-18,2nd,Joel Embiid,Draymond Green,Al Horford,Dejounte Murray,Jimmy Butler
2016-17,1st,Kawhi Leonard,Draymond Green,Rudy Gobert,Patrick Beverley,Chris Paul
2016-17,2nd,Tony Allen,Danny Green,Andre Roberson,Anthony Davis,Giannis Antetokounmpo
2015-16,1st,Kawhi Leonard,Draymond Green,DeAndre Jordan,Avery Bradley,Chris Paul
2015-16,2nd,Paul Millsap,Paul George,Hassan Whiteside,Tony Allen,Jimmy Butler
2014-15,1st,Kawhi Leonard,Draymond Green,Tony Allen,DeAndre Jordan,Chris Paul
2014-15,2nd,Anthony Davis,Jimmy Butler,Andrew Bogut,John Wall,Tim Duncan
2013-14,1st,Joakim Noah,Paul George,Chris Paul,Serge Ibaka,Andre Iguodala
2013-14,2nd,LeBron James,Patrick Beverley,Jimmy Butler,Kawhi Leonard,Roy Hibbert
2012-13,1st,Tony Allen,Serge Ibaka,LeBron James,Chris Paul,Tyson Chandler Joakim Noah (T)
2012-13,2nd,Avery Bradley,Mike Conley,Tim Duncan,Marc Gasol,Paul George
2011-12,1st,Tony Allen,Dwight Howard,Serge Ibaka,LeBron James,Chris Paul
2011-12,2nd,Kobe Bryant,Tyson Chandler,Luol Deng,Kevin Garnett,Rajon Rondo
2010-11,1st,Kobe Bryant,Kevin Garnett,Dwight Howard,LeBron James,Rajon Rondo
2010-11,2nd,Tony Allen,Tyson Chandler,Andre Iguodala,Joakim Noah,Chris Paul
2009-10,1st,Kobe Bryant,Dwight Howard,LeBron James,Rajon Rondo,Gerald Wallace
2009-10,2nd,Tim Duncan,Thabo Sefolosha,Josh Smith,Anderson Varejão,Dwyane Wade
2008-09,1st,Kobe Bryant,Kevin Garnett,Dwight Howard,LeBron James,Chris Paul
2008-09,2nd,Metta World Peace,Shane Battier,Tim Duncan,Rajon Rondo,Dwyane Wade
2007-08,1st,Bruce Bowen,Kobe Bryant,Marcus Camby,Tim Duncan,Kevin Garnett
2007-08,2nd,Shane Battier,Raja Bell,Dwight Howard,Chris Paul,Tayshaun Prince
2006-07,1st,Raja Bell,Bruce Bowen,Kobe Bryant,Marcus Camby,Tim Duncan
2006-07,2nd,Kevin Garnett,Kirk Hinrich,Jason Kidd,Tayshaun Prince,Ben Wallace
2005-06,1st,Metta World Peace,Bruce Bowen,Andrei Kirilenko,Ben Wallace,Kobe Bryant Jason Kidd (T)
2005-06,2nd,Chauncey Billups,Marcus Camby,Tim Duncan,Kevin Garnett,Tayshaun Prince
2004-05,1st,Bruce Bowen,Tim Duncan,Kevin Garnett,Larry Hughes,Ben Wallace
2004-05,2nd,Chauncey Billups,Marcus Camby,Andrei Kirilenko,Tayshaun Prince,Jason Kidd Dwyane Wade (T)
2003-04,1st,Metta World Peace,Bruce Bowen,Kobe Bryant,Kevin Garnett,Ben Wallace
2003-04,2nd,Doug Christie,Tim Duncan,Jason Kidd,Andrei Kirilenko,Theo Ratliff
2002-03,1st,Kobe Bryant,Doug Christie,Tim Duncan,Kevin Garnett,Ben Wallace
2002-03,2nd,Metta World Peace,Bruce Bowen,Jason Kidd,Shaquille O'Neal,Eric Snow
2001-02,1st,Tim Duncan,Kevin Garnett,Jason Kidd,Gary Payton,Ben Wallace
2001-02,2nd,Bruce Bowen,Kobe Bryant,Doug Christie,Dikembe Mutombo,Clifford Robinson
2000-01,1st,Tim Duncan,Kevin Garnett,Jason Kidd,Dikembe Mutombo,Gary Payton
2000-01,2nd,Bruce Bowen,P.J. Brown,Kobe Bryant,Doug Christie,Shaquille O'Neal